"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Montpelier Ex Vill SD, Williams","45526.0","46.0","21.69","997.53","905.28","0.0144","0.0","0.0048","0.0022","0.0258","0.9363","0.0165","0.5178","0.0011","0.1452","45173.57","0.3485","0.2121","0.4394","13.5","55687.48","71.37","94640.0","0.7965","0.1826","0.0209","0.2035","94.64","2411.94","349.22","84739.77","78.0","29517.0","40803.0","57.05","23.0","32.72","4.0","1218.14","1.3836","1551.33","2312.06","5867.08","662.82","447.03","10840.35","9134.36","0.6255","3480.54","0.2384","941.6","0.0645","1045.66","0.0716","14602.16","7682.82","3.8257","0.5225","0.1967","0.2125","0.0552","0.0131"
"Morgan Local SD, Morgan","48777.0","387.0","5.19","2010.39","1902.69","0.0021","0.0011","0.0375","0.0016","0.0029","0.8842","0.0705","0.5727","0.0","0.1541","50602.47","0.2624","0.227","0.5106","13.1","78108.14","153.23","131739.74","0.7759","0.0602","0.1639","0.2241","131.74","2942.6","386.14","108089.01","153.0","28727.0","41237.0","32.5","20.0","24.78","4.3","0.0","0.9298","1685.97","2606.08","6510.4","425.98","230.87","11459.26","8441.11","0.6568","2703.37","0.2104","481.79","0.0375","1224.68","0.0953","12850.95","6577.19","3.334","0.4879","0.2287","0.2033","0.062","0.0182"
"Mount Gilead Ex Vill SD, Morrow","45534.0","77.0","16.64","1281.23","1203.56","0.0033","0.0","0.0042","0.0","0.0284","0.9375","0.0267","0.4957","0.0042","0.1686","49822.97","0.2","0.2375","0.5625","8.0","68632.25","156.62","130005.08","0.8557","0.0998","0.0444","0.1443","130.01","3012.56","403.39","119852.97","209.0","30774.0","50373.0","40.8","22.0","25.38","4.0","896.33","1.2907","2240.35","2073.62","5318.95","514.27","115.11","10262.25","6649.83","0.5285","3587.57","0.2851","1444.0","0.1148","900.87","0.0716","12582.27","5240.63","2.0215","0.455","0.1716","0.3139","0.0466","0.0129"
"Mount Healthy City SD, Hamilton","44412.0","8.0","512.91","4103.24","3218.03","0.0178","0.0009","0.711","0.0008","0.0395","0.147","0.0831","0.9598","0.0284","0.2007","55628.32","0.328","0.2043","0.4677","28.2","85320.06","141.04","69279.8","0.788","0.1612","0.0508","0.212","69.28","3170.15","468.8","72311.16","47.0","29778.0","42554.0","69.61","44.22","45.79","4.56","0.0","1.0783","1206.79","2343.88","6034.53","1047.05","563.22","11195.46","9274.54","0.6168","3380.79","0.2248","415.06","0.0276","1966.88","0.1308","15037.27","5550.05","2.6269","0.4111","0.1373","0.4136","0.0314","0.0066"
"Mount Vernon City SD, Knox","44420.0","147.0","27.51","4044.16","3697.11","0.0083","0.0005","0.0115","0.0019","0.0357","0.8957","0.0464","0.5161","0.0123","0.1715","58587.08","0.2607","0.175","0.5643","23.0","81857.57","168.47","144664.15","0.7686","0.1557","0.0757","0.2314","144.66","4954.98","566.51","139314.84","322.0","30892.0","55030.0","41.34","33.14","36.3","3.4","0.0","1.0836","1628.86","1696.02","6257.5","707.03","297.75","10587.16","5516.96","0.4809","4384.33","0.3822","848.17","0.0739","723.27","0.063","11472.74","3505.26","0.9077","0.551","0.2033","0.1493","0.0308","0.0657"
"Napoleon City SD, Henry","44438.0","131.0","16.28","2132.04","1961.55","0.0071","0.0","0.0107","0.0015","0.1082","0.8561","0.0163","0.3741","0.0109","0.1475","49850.21","0.4959","0.1707","0.3333","18.0","57839.61","114.69","154022.57","0.8532","0.1308","0.016","0.1468","154.02","4901.6","587.22","143833.17","347.0","33273.0","55687.0","55.5","28.79","48.69","3.3","0.0","0.9021","1135.23","1686.02","6237.84","643.25","375.32","10077.66","6074.24","0.4908","4273.97","0.3453","1155.35","0.0934","872.84","0.0705","12376.4","3524.32","0.9534","0.5594","0.2167","0.1796","0.025","0.0192"
"National Trail Local SD, Preble","49270.0","112.0","9.88","1106.14","958.55","0.002","0.0","0.0053","0.002","0.0148","0.9551","0.0208","0.4887","0.0","0.1406","46892.87","0.2874","0.3218","0.3908","10.0","65547.7","104.02","154379.8","0.8818","0.0642","0.054","0.1182","154.38","3529.26","409.59","133747.73","296.0","29488.0","43443.0","30.08","22.36","23.65","5.0","1829.83","2.3843","1539.98","3124.16","6203.15","554.87","321.5","11743.66","7439.26","0.4979","5539.03","0.3707","1092.24","0.0731","871.01","0.0583","14941.55","4954.02","2.3657","0.4743","0.2244","0.2341","0.0359","0.0314"
"Nelsonville-York City SD, Athens","44446.0","76.0","15.89","1207.57","1234.75","0.0026","0.0","0.0123","0.0008","0.0099","0.9451","0.0293","0.6311","0.0008","0.1874","53689.23","0.2262","0.2381","0.5357","11.0","72454.55","107.91","90286.41","0.6203","0.176","0.2037","0.3797","90.29","2162.23","245.88","74665.44","52.0","24757.0","36173.0","31.0","22.0","22.65","3.7","0.0","0.8106","1354.63","2629.27","6652.4","445.24","361.38","11442.96","8830.41","0.6953","1740.09","0.137","894.63","0.0704","1235.15","0.0973","12700.28","8706.4","5.8049","0.5479","0.2703","0.1246","0.0348","0.0223"
"New Albany-Plain Local SD, Franklin","46995.0","23.0","209.65","4821.87","4680.0","0.1222","0.0009","0.079","0.0015","0.0377","0.7016","0.0571","0.0755","0.0392","0.1106","71490.38","0.1434","0.1329","0.7238","27.0","100051.89","177.19","194582.7","0.7812","0.1712","0.0477","0.2188","194.58","10045.81","1285.3","214099.73","537.0","70404.0","224940.0","65.34","50.99","50.71","4.5","0.0","0.3577","1601.2","2025.54","6656.41","1023.78","457.21","11764.16","2010.12","0.1424","10122.21","0.7169","1704.2","0.1207","283.86","0.0201","14120.38","561.24","0.0363","0.6206","0.2051","0.1153","0.0379","0.0211"
"New Boston Local SD, Scioto","44461.0","1.0","364.11","364.11","413.18","0.0","0.0","0.0","0.0056","0.0215","0.905","0.068","0.9998","0.0","0.1415","44620.06","0.4286","0.0571","0.5143","11.2","38811.62","31.41","100632.42","0.2709","0.5251","0.204","0.7291","100.63","3244.49","175.05","56928.15","18.0","19633.0","35392.0","38.21","22.0","35.21","3.72","0.0","0.6496","1773.83","2330.65","6169.45","465.21","388.18","11127.36","8244.0","0.5226","2350.22","0.149","3130.65","0.1985","2050.08","0.13","15774.95","8565.33","11.8019","0.477","0.1555","0.3255","0.0274","0.0145"
"New Bremen Local SD, Auglaize","45955.0","36.0","20.38","733.64","737.69","0.0074","0.0","0.0064","0.0","0.0176","0.9631","0.0054","0.0708","0.0041","0.0959","57035.4","0.2083","0.1528","0.6389","4.0","93010.5","183.32","156634.55","0.8212","0.1522","0.0266","0.1788","156.63","3456.7","459.93","148088.23","367.0","41664.0","80470.0","42.85","20.0","29.59","5.0","2125.42","0.7447","1526.99","1840.87","7168.03","374.31","392.17","11302.37","5211.02","0.4133","5213.12","0.4135","1733.19","0.1375","451.35","0.0358","12608.68","3834.79","0.8236","0.5508","0.2369","0.1751","0.0264","0.0109"
"New Knoxville Local SD, Auglaize","45963.0","27.0","14.37","387.96","385.79","0.0052","0.0","0.0156","0.0","0.0174","0.9463","0.0156","0.0881","0.0026","0.079","55213.78","0.2632","0.2105","0.5263","3.0","81210.0","128.68","165095.86","0.8744","0.1093","0.0163","0.1256","165.1","3477.06","507.56","140383.36","329.0","35044.0","54229.0","46.65","20.0","25.73","4.4","1661.0","1.2932","1561.56","1947.64","7058.33","399.5","673.88","11640.97","6852.52","0.4814","5172.71","0.3634","1649.22","0.1159","560.28","0.0394","14234.72","6366.26","2.1178","0.5736","0.2203","0.1579","0.0276","0.0206"
"New Lebanon Local SD, Montgomery","48710.0","29.0","36.2","1049.72","1147.57","0.0026","0.0","0.0026","0.0009","0.0087","0.9523","0.0329","0.5242","0.0","0.1695","51882.35","0.2","0.2842","0.5158","6.0","73130.0","168.71","101878.01","0.8895","0.0701","0.0404","0.1105","101.88","2693.41","438.11","85882.43","80.0","30108.0","44628.0","47.53","25.18","30.22","6.5","1487.48","1.5739","1217.22","1771.4","5875.6","681.7","258.01","9803.95","6706.63","0.5377","3315.68","0.2658","1597.96","0.1281","853.07","0.0684","12473.33","7300.68","3.0222","0.5493","0.201","0.1798","0.0575","0.0124"
"New Lexington City SD, Perry","44479.0","97.0","19.18","1860.06","1763.35","0.0024","0.0011","0.002","0.0035","0.0109","0.9649","0.0151","0.9891","0.0","0.1447","48293.46","0.2791","0.155","0.5659","10.2","76700.56","180.69","83920.0","0.7477","0.1408","0.1114","0.2523","83.92","1949.22","229.73","78490.36","62.0","29777.0","41281.0","32.0","22.0","22.8","3.8","0.0","0.7506","1422.71","2502.0","7553.89","746.36","298.78","12523.77","9630.02","0.6949","1723.06","0.1243","715.28","0.0516","1789.63","0.1291","13857.99","7379.92","4.37","0.4644","0.2565","0.2241","0.0461","0.0089"
"New London Local SD, Huron","47720.0","84.0","11.85","995.56","926.58","0.001","0.0","0.0158","0.0","0.007","0.9558","0.0205","0.4083","0.0","0.1536","52530.49","0.24","0.1733","0.5867","7.8","59743.97","120.81","117487.5","0.8934","0.072","0.0346","0.1066","117.49","2895.76","370.96","104777.66","138.0","31768.0","45211.0","35.0","24.2","25.28","4.5","1110.61","1.5981","1352.81","2180.13","6522.63","423.71","154.62","10633.86","7994.41","0.5888","3664.77","0.2699","1185.88","0.0873","732.11","0.0539","13577.16","6676.36","2.9617","0.4926","0.2313","0.2299","0.0335","0.0127"
