"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ada Ex Vill SD, Hardin","45187.0","43.0","20.15","866.66","855.04","0.0082","0.0","0.0265","0.0028","0.0126","0.9324","0.0176","0.4163","0.0064","0.1111","54986.18","0.5862","0.0862","0.3276","11.7","56166.27","72.4","126093.59","0.8469","0.1176","0.0355","0.1531","126.09","2818.5","435.66","115107.16","187.0","32655.0","51438.0","38.5","21.7","22.18","5.9","2107.26","1.4965","1372.1","1641.04","6326.37","520.32","211.61","10071.46","6537.96","0.5068","4569.84","0.3543","1135.39","0.088","656.09","0.0509","12899.28","6158.27","2.0637","0.5472","0.2259","0.1612","0.021","0.0447"
"Adena Local SD, Ross","49494.0","128.0","9.7","1241.04","1211.81","0.0008","0.0","0.0094","0.0","0.0153","0.9426","0.0319","0.4576","0.0","0.1265","50920.0","0.1724","0.2299","0.5977","10.1","69351.69","118.44","117483.06","0.8778","0.0282","0.094","0.1222","117.48","2818.97","303.14","105765.12","144.0","35460.0","50444.0","38.0","22.36","28.26","4.1","27.98","0.8195","1338.12","1838.94","5419.71","274.4","167.65","9038.85","7514.04","0.6618","2169.24","0.1911","938.53","0.0827","732.16","0.0645","11353.97","6610.86","2.9047","0.5117","0.2379","0.1929","0.0397","0.0177"
"Akron City SD, Summit","43489.0","55.0","485.31","26692.23","21401.92","0.0757","0.0008","0.4613","0.0007","0.0377","0.3407","0.0831","1.0","0.073","0.1834","65137.5","0.385","0.1592","0.4558","138.5","77347.55","192.42","86593.24","0.6837","0.26","0.0563","0.3163","86.59","4827.36","556.04","80748.79","67.0","25772.0","39558.0","76.0","52.35","60.3","4.2","0.0","1.586","2017.19","2615.73","7948.66","1072.22","764.97","14418.77","9968.43","0.5605","5273.72","0.2965","731.82","0.0411","1812.21","0.1019","17786.18","5633.86","2.6989","0.4938","0.2256","0.2464","0.0242","0.01"
"Alexander Local SD, Athens","45906.0","174.0","9.19","1598.84","1492.44","0.0007","0.0","0.0034","0.0","0.004","0.9731","0.0189","0.4462","0.0","0.1833","56950.22","0.156","0.2385","0.6055","8.0","80925.13","191.63","150132.58","0.6871","0.0417","0.2712","0.3129","150.13","3927.07","347.78","126018.93","242.0","32944.0","57330.0","37.0","22.0","24.16","3.9","0.0","0.639","1475.66","2185.5","6000.84","734.38","288.76","10685.16","6905.57","0.5366","3389.06","0.2633","1348.04","0.1047","1226.72","0.0953","12869.39","6096.23","1.7843","0.5002","0.2037","0.2414","0.0374","0.0172"
"Allen East Local SD, Allen","45757.0","73.0","14.59","1065.22","1093.05","0.002","0.0012","0.0154","0.0","0.022","0.9568","0.0027","0.3292","0.0032","0.1055","55297.6","0.1833","0.2","0.6167","9.0","59180.22","115.12","126984.81","0.906","0.0243","0.0697","0.094","126.98","3126.03","457.66","112699.42","176.0","36196.0","53430.0","31.18","24.08","25.87","5.05","0.0","0.8281","1032.69","1904.59","4617.67","602.65","697.49","8855.1","6463.18","0.5919","2506.89","0.2296","1453.11","0.1331","496.8","0.0455","10919.98","6226.42","2.224","0.5306","0.2111","0.1997","0.0481","0.0105"
"Alliance City SD, Stark","43497.0","12.0","260.88","3130.56","2964.79","0.0034","0.0003","0.1189","0.0021","0.0328","0.7019","0.1407","1.0","0.0029","0.1778","56320.14","0.3915","0.1934","0.4151","24.9","72317.59","125.62","76238.17","0.6763","0.2421","0.0816","0.3237","76.24","2561.92","352.95","63698.81","28.0","25076.0","40706.0","55.0","30.13","36.1","3.8","0.0","0.7843","1405.86","2391.31","6529.17","540.26","469.06","11335.66","8920.77","0.6568","2404.71","0.1771","719.11","0.0529","1536.64","0.1131","13581.24","7160.38","3.6586","0.526","0.2009","0.2185","0.0454","0.0092"
"Amanda-Clearcreek Local SD, Fairfield","46847.0","98.0","15.46","1514.72","1489.0","0.002","0.0007","0.0049","0.0013","0.0079","0.974","0.0091","0.3509","0.0007","0.1253","50535.65","0.3482","0.1964","0.4554","15.0","68844.07","98.78","121184.81","0.9352","0.0349","0.0299","0.0648","121.18","2720.41","338.37","111752.31","171.0","36573.0","53227.0","37.0","22.0","22.0","4.7","1440.88","1.3359","1470.17","2344.99","6866.23","628.88","274.31","11584.56","7228.88","0.5599","3741.04","0.2897","1264.03","0.0979","677.91","0.0525","12911.86","6593.55","2.4993","0.4619","0.2068","0.2786","0.0319","0.0208"
"Amherst Ex Vill SD, Lorain","45195.0","19.0","202.6","3849.43","3682.66","0.0124","0.0003","0.0245","0.0025","0.1225","0.8091","0.0287","0.2114","0.0031","0.1268","65952.38","0.0939","0.1408","0.7653","15.3","93846.85","245.71","142884.81","0.7924","0.174","0.0335","0.2076","142.88","5494.84","695.6","149331.99","375.0","39185.0","59255.0","69.86","36.84","39.75","5.2","0.0","0.8596","1049.36","1862.08","5845.29","532.09","522.41","9811.23","4770.22","0.4345","4830.07","0.4399","1042.62","0.095","336.79","0.0307","10979.69","3649.07","0.8722","0.56","0.2084","0.1859","0.0288","0.0169"
"Anna Local SD, Shelby","49759.0","68.0","16.92","1150.61","1199.12","0.0055","0.0008","0.0017","0.0","0.01","0.9625","0.0195","0.1269","0.0018","0.1175","63004.87","0.1867","0.12","0.6933","8.1","80169.14","139.56","148526.0","0.7961","0.1803","0.0235","0.2039","148.53","3507.21","334.59","140681.16","334.0","43652.0","62468.0","33.1","22.27","28.31","5.5","1396.53","1.0959","1292.5","1658.19","5970.58","208.63","311.6","9441.48","5254.21","0.4486","4411.62","0.3767","1695.78","0.1448","349.69","0.0299","11711.3","5389.12","1.7118","0.5857","0.2099","0.1551","0.0373","0.0119"
"Ansonia Local SD, Darke","46623.0","65.0","9.63","625.75","785.31","0.0","0.0","0.0","0.0","0.015","0.9772","0.0078","0.3089","0.0038","0.1084","53754.96","0.3636","0.0364","0.6","2.0","112455.0","306.76","143378.73","0.9207","0.0428","0.0365","0.0793","143.38","3277.04","404.64","98660.66","120.0","32384.0","49293.0","34.88","22.37","23.0","4.8","1811.67","2.0017","1244.87","2460.6","6038.22","412.5","439.42","10595.56","6421.81","0.5162","3573.58","0.2873","1769.31","0.1422","675.31","0.0543","12440.01","8167.15","3.5921","0.5528","0.212","0.1661","0.0377","0.0315"
"Anthony Wayne Local SD, Lucas","48207.0","74.0","57.05","4221.95","3900.0","0.0203","0.0012","0.0146","0.001","0.008","0.9401","0.0148","0.1083","0.001","0.0979","63987.12","0.2068","0.1688","0.6245","19.0","96519.16","214.13","214478.16","0.8529","0.1236","0.0235","0.1471","214.48","7336.19","838.19","218825.68","542.0","51407.0","94352.0","69.1","33.12","35.05","2.1","0.0","0.5645","1263.17","2042.38","6276.4","748.8","173.21","10503.96","2992.67","0.275","6857.28","0.63","639.94","0.0588","394.39","0.0362","10884.28","1698.07","0.2023","0.614","0.2296","0.1237","0.021","0.0117"
"Antwerp Local SD, Paulding","48991.0","65.0","9.97","648.05","733.05","0.0027","0.0","0.0055","0.0","0.0469","0.9234","0.0215","0.3048","0.0","0.1796","49603.19","0.2245","0.1633","0.6122","9.2","70922.17","68.59","130669.18","0.9007","0.0576","0.0417","0.0993","130.67","3068.93","399.95","116565.03","194.0","33724.0","47858.0","40.7","22.0","34.27","3.9","1745.85","1.533","1570.92","2376.18","6029.59","309.68","519.85","10806.26","6918.11","0.5457","3698.27","0.2917","1348.89","0.1064","711.78","0.0561","12677.05","6947.92","2.8454","0.5011","0.2417","0.2052","0.037","0.015"
"Arcadia Local SD, Hancock","47415.0","61.0","7.24","441.71","551.12","0.0054","0.0","0.0036","0.0","0.0725","0.8824","0.0361","0.3668","0.0","0.0883","51900.45","0.24","0.2","0.56","4.3","81192.45","102.53","270112.34","0.7346","0.0625","0.2029","0.2654","270.11","7196.88","659.88","161524.64","419.0","34841.0","64150.0","28.96","26.06","26.05","5.1","1916.62","1.4767","1542.61","2391.31","6051.86","666.75","399.64","11052.26","4512.7","0.3043","6679.17","0.4504","2960.3","0.1996","676.62","0.0456","14828.79","5815.71","1.4028","0.509","0.2038","0.22","0.0507","0.0164"
"Arcanum Butler Local SD, Darke","46631.0","60.0","17.51","1050.45","1135.92","0.0026","0.0008","0.0035","0.0","0.0025","0.9636","0.027","0.2286","0.0009","0.0827","57593.17","0.0938","0.1875","0.7188","9.3","70130.25","108.08","134303.62","0.9138","0.0315","0.0546","0.0862","134.3","3038.95","481.98","123688.84","228.0","33827.0","49399.0","26.18","22.36","24.26","4.9","1799.61","1.6612","1042.44","1531.42","5477.9","248.0","560.68","8860.42","5662.29","0.4954","3916.95","0.3427","1432.54","0.1253","417.68","0.0365","11429.47","6040.73","2.4546","0.5298","0.2037","0.2002","0.0309","0.0353"
"Archbold-Area Local SD, Fulton","47043.0","78.0","16.3","1271.12","1206.27","0.0091","0.0","0.0087","0.0017","0.1915","0.7749","0.0141","0.2543","0.0135","0.0856","57840.03","0.1553","0.1748","0.6699","10.5","51106.76","117.79","174973.13","0.6861","0.2668","0.0471","0.3139","174.97","5542.58","503.03","165330.03","432.0","34425.0","60121.0","44.1","27.96","39.03","2.2","0.0","0.869","1129.0","1576.16","6323.21","823.76","311.32","10163.46","5094.31","0.4303","4818.51","0.407","1255.79","0.1061","670.08","0.0566","11838.7","2625.36","0.8092","0.5556","0.2278","0.1696","0.0309","0.0162"
"Arlington Local SD, Hancock","47423.0","57.0","9.96","567.95","567.91","0.0018","0.0","0.0035","0.0","0.0117","0.9601","0.0229","0.2226","0.0","0.1589","48397.72","0.3088","0.1765","0.5147","5.1","74163.08","111.34","166661.47","0.9236","0.0439","0.0325","0.0764","166.66","3395.02","392.05","145357.71","356.0","37451.0","57912.0","31.4","20.0","20.0","5.4","1826.26","1.2577","1454.2","1850.88","5821.84","464.01","283.79","9874.76","6522.78","0.503","4776.43","0.3683","1108.74","0.0855","560.28","0.0432","12968.22","5520.36","1.737","0.569","0.2105","0.1764","0.0292","0.0148"
"Ashland City SD, Ashland","43505.0","76.0","44.65","3393.12","3207.17","0.0078","0.0019","0.0069","0.0","0.0164","0.9234","0.0436","0.34","0.0067","0.1226","55151.84","0.2275","0.1422","0.6303","18.0","78708.0","182.11","135585.92","0.7027","0.2389","0.0584","0.2973","135.59","5283.82","619.13","130978.09","274.0","30179.0","51641.0","64.6","35.56","42.73","4.0","0.0","0.9381","1379.56","1400.15","5982.36","576.64","346.82","9685.55","5163.08","0.4546","4684.97","0.4125","653.49","0.0575","855.72","0.0753","11357.26","3656.12","1.0173","0.5436","0.2355","0.1732","0.0329","0.0149"
"Ashtabula Area City SD, Ashtabula","43513.0","62.0","65.88","4084.69","3542.3","0.0025","0.0013","0.0736","0.0007","0.1512","0.6379","0.1327","0.9997","0.0602","0.226","54356.78","0.2571","0.1667","0.5762","30.0","71511.23","132.74","103286.16","0.6882","0.2139","0.0979","0.3118","103.29","2962.4","433.46","100884.47","129.0","26535.0","42905.0","44.11","25.4","32.19","4.2","0.0","0.7979","1232.09","2546.72","6517.24","684.27","245.42","11225.76","8355.82","0.6328","2800.8","0.2121","459.12","0.0348","1587.84","0.1203","13203.58","5693.1","2.5819","0.4304","0.2478","0.2875","0.0248","0.0094"
"Athens City SD, Athens","43521.0","89.0","27.24","2424.74","2624.42","0.0548","0.0","0.0229","0.0004","0.0291","0.8519","0.041","0.3552","0.0226","0.1692","64823.32","0.1359","0.125","0.7391","17.8","88304.83","134.68","229147.58","0.6291","0.291","0.0799","0.3709","229.15","7134.67","633.89","187796.16","496.0","27823.0","53838.0","59.43","28.55","28.95","4.0","1661.17","1.5088","1183.95","1989.37","7723.36","926.66","281.45","12104.77","3584.26","0.2756","7202.91","0.5538","1419.67","0.1092","798.99","0.0614","13005.83","3671.8","0.7628","0.5719","0.2368","0.128","0.044","0.0193"
"Aurora City SD, Portage","49171.0","24.0","120.39","2889.39","2909.44","0.0429","0.0021","0.0319","0.0","0.0263","0.8692","0.0276","0.0838","0.0074","0.0939","78810.32","0.0207","0.1503","0.829","11.5","103352.61","251.25","219028.73","0.8154","0.1652","0.0194","0.1846","219.03","9612.32","1172.67","229078.47","555.0","52347.0","126584.0","75.38","42.97","44.72","5.6","0.0","0.6048","1331.88","1799.51","7398.0","789.64","418.25","11737.27","3059.6","0.2457","8484.65","0.6814","655.9","0.0527","251.37","0.0202","12451.53","1662.04","0.1636","0.6359","0.2504","0.0708","0.0266","0.0163"
"Austintown Local SD, Mahoning","48298.0","27.0","174.88","4721.83","4815.87","0.008","0.0006","0.1246","0.0017","0.0559","0.7635","0.0457","0.5273","0.0102","0.128","47116.5","0.6437","0.158","0.1983","48.7","41661.98","94.39","127237.67","0.6944","0.2756","0.03","0.3056","127.24","4276.15","594.6","123530.14","227.0","31593.0","46011.0","56.7","31.65","36.02","6.4","0.0","0.7403","1134.31","1736.26","5445.85","539.38","189.35","9045.15","4952.37","0.4799","3500.19","0.3391","1269.44","0.123","598.5","0.058","10320.48","4266.83","1.2846","0.5232","0.2213","0.2212","0.0246","0.0097"
"Avon Lake City SD, Lorain","48124.0","11.0","343.68","3780.5","3742.45","0.0151","0.002","0.0119","0.002","0.0205","0.9216","0.027","0.1069","0.003","0.0983","64426.57","0.1266","0.1941","0.6793","18.6","86623.96","201.61","229282.26","0.832","0.1089","0.0591","0.168","229.28","9870.24","1132.8","236521.01","566.0","52944.0","103981.0","68.73","40.16","51.13","4.2","0.0","0.6789","1289.5","2028.86","6284.93","657.08","481.19","10741.56","2336.67","0.198","8349.88","0.7075","784.0","0.0664","331.25","0.0281","11801.8","620.61","0.0677","0.5965","0.2135","0.1401","0.0294","0.0204"
"Avon Local SD, Lorain","48116.0","21.0","206.71","4341.01","4207.52","0.0344","0.0007","0.0247","0.0","0.0649","0.8359","0.0394","0.1074","0.024","0.0868","59479.03","0.2835","0.1732","0.5433","20.0","85775.8","214.99","191550.99","0.7788","0.2025","0.0187","0.2212","191.55","7197.5","791.07","203677.07","521.0","58573.0","100896.0","54.15","37.41","36.67","5.8","0.0","0.6028","1048.63","1600.89","5823.83","509.29","220.24","9202.89","2057.12","0.2134","6263.81","0.6498","1002.9","0.104","315.34","0.0327","9639.16","1025.12","0.1541","0.5492","0.2132","0.1786","0.0393","0.0197"
"Ayersville Local SD, Defiance","46706.0","52.0","11.37","591.49","721.1","0.0097","0.0014","0.0094","0.0002","0.107","0.8613","0.0111","0.2898","0.0","0.0802","58606.64","0.127","0.2381","0.6349","8.1","57903.43","69.64","182228.9","0.7559","0.1405","0.1036","0.2441","182.23","5650.61","558.1","126829.46","248.0","34746.0","52867.0","45.48","26.43","44.94","5.0","1488.24","1.3144","1677.54","1924.11","6712.07","608.64","588.77","11511.16","5010.42","0.3589","5109.39","0.366","3076.69","0.2204","762.78","0.0546","13959.28","6146.63","1.7385","0.5566","0.2094","0.1884","0.0321","0.0136"
"Barberton City SD, Summit","43539.0","9.0","448.62","4037.6","3732.39","0.004","0.0003","0.1303","0.0021","0.0232","0.7584","0.0818","0.7569","0.007","0.1945","61178.84","0.249","0.1592","0.5918","31.0","69852.81","130.11","83247.68","0.7585","0.1974","0.0442","0.2415","83.25","3761.44","572.6","79473.78","63.0","27736.0","38650.0","62.55","42.65","51.02","4.3","0.0","1.3252","1490.04","2136.71","6996.43","656.89","292.9","11572.96","8529.09","0.5947","3476.15","0.2424","1247.11","0.087","1090.38","0.076","14342.73","6569.37","3.6549","0.5353","0.202","0.233","0.0234","0.0064"
"Barnesville Ex Vill SD, Belmont","45203.0","125.0","9.57","1196.48","1376.43","0.0014","0.0","0.0015","0.0015","0.0047","0.9637","0.0273","0.383","0.0007","0.1155","45768.96","0.2688","0.1613","0.5699","7.5","61454.53","153.57","198895.92","0.4739","0.3691","0.157","0.5261","198.9","5322.65","311.85","122643.9","224.0","33296.0","55085.0","41.9","21.5","27.08","3.9","0.6","0.5896","930.28","1879.08","5465.93","656.38","345.71","9277.36","4938.58","0.4226","4102.56","0.3511","1671.22","0.143","972.63","0.0832","11684.99","5889.94","1.8248","0.4624","0.2411","0.2109","0.06","0.0255"
"Batavia Local SD, Clermont","46300.0","26.0","88.17","2292.48","2215.56","0.011","0.0002","0.0273","0.0008","0.0267","0.8611","0.073","0.4699","0.0096","0.1748","57047.37","0.331","0.1408","0.5282","13.0","79689.0","169.35","95768.57","0.6723","0.2553","0.0725","0.3277","95.77","3539.35","337.34","98319.24","119.0","36533.0","59503.0","55.05","30.57","48.65","4.3","0.0","0.5499","1260.52","1746.04","5481.53","165.54","37.95","8691.59","5710.17","0.5011","3510.65","0.3081","1372.06","0.1204","801.55","0.0703","11394.43","4560.65","1.3458","0.4917","0.1982","0.2773","0.0241","0.0087"
"Bath Local SD, Allen","45765.0","46.0","39.36","1810.78","1725.59","0.018","0.0006","0.0522","0.0003","0.0339","0.8832","0.0119","0.4255","0.0083","0.0901","55761.53","0.2095","0.2095","0.581","14.0","71048.43","123.89","137866.5","0.6513","0.2159","0.1328","0.3487","137.87","4359.34","540.07","138167.61","319.0","33842.0","52711.0","31.62","31.62","31.62","6.15","0.0","0.8496","1046.46","1924.62","5390.61","556.24","148.24","9066.19","4666.44","0.4392","3869.28","0.3642","1209.91","0.1139","879.28","0.0828","10624.9","2731.82","0.9119","0.5524","0.1862","0.2198","0.027","0.0146"
"Bay Village City SD, Cuyahoga","43547.0","5.0","491.06","2455.31","2450.48","0.0121","0.0008","0.0067","0.0","0.0279","0.9307","0.0218","0.0731","0.0026","0.1093","75456.17","0.0734","0.1582","0.7684","16.0","105050.38","153.46","221138.51","0.9579","0.0234","0.0187","0.0421","221.14","12073.2","1538.65","230076.8","557.0","58747.0","122028.0","117.81","53.12","64.43","4.61","0.0","0.6759","2064.79","1869.9","7996.64","714.08","280.85","12926.27","3407.33","0.2299","10041.11","0.6774","1019.34","0.0688","354.56","0.0239","14822.33","1780.84","0.1583","0.6487","0.2008","0.1038","0.0327","0.014"
"Beachwood City SD, Cuyahoga","43554.0","5.0","284.4","1421.99","1416.6","0.1787","0.0007","0.2044","0.0056","0.0158","0.5445","0.0504","0.0955","0.0538","0.1372","86477.25","0.1611","0.2349","0.604","13.0","113563.23","109.38","510459.02","0.4847","0.4966","0.0187","0.5153","510.46","20171.65","1419.81","529113.73","606.0","57310.0","144413.0","79.3","34.09","43.31","6.8","0.0","0.3646","3166.24","4263.95","11122.02","1332.22","1173.62","21058.11","3873.24","0.1545","18182.42","0.7254","2611.98","0.1042","397.46","0.0159","25065.11","694.85","0.0419","0.5901","0.2062","0.1614","0.0256","0.0168"
"Beaver Local SD, Columbiana","46425.0","112.0","16.49","1846.95","1795.59","0.0039","0.0006","0.0043","0.0011","0.0077","0.9708","0.0116","0.4207","0.0039","0.1491","52956.66","0.2339","0.2177","0.5484","17.3","59741.62","104.43","142199.39","0.7716","0.1486","0.0798","0.2284","142.2","3954.64","544.91","130462.32","272.0","32912.0","50757.0","33.7","27.3","27.3","4.6","0.0","0.814","1155.48","2224.13","6119.56","474.12","115.29","10088.56","5894.73","0.5048","3408.59","0.2919","1342.11","0.1149","1032.61","0.0884","11678.04","4906.71","1.5099","0.5097","0.2301","0.1762","0.0438","0.0402"
"Beavercreek City SD, Greene","47241.0","47.0","170.47","8012.04","7712.25","0.0685","0.0014","0.0322","0.0017","0.0313","0.8257","0.0393","0.1343","0.0217","0.1413","67149.3","0.1919","0.2","0.6081","39.9","92474.39","197.17","218237.36","0.7136","0.2637","0.0227","0.2864","218.24","8652.84","872.9","234591.93","562.0","52140.0","85554.0","49.9","39.72","38.56","4.6","0.0","0.6778","1230.46","1887.1","7402.55","674.95","301.31","11496.37","2646.66","0.2279","7797.46","0.6714","698.22","0.0601","471.62","0.0406","11613.96","910.35","0.1419","0.5795","0.2373","0.1138","0.0253","0.0441"
"Bedford City SD, Cuyahoga","43562.0","20.0","172.86","3457.1","3215.11","0.002","0.0003","0.8198","0.0","0.0383","0.0862","0.0534","0.6506","0.0243","0.1852","66113.67","0.219","0.2107","0.5702","35.0","91268.86","98.77","193912.64","0.5206","0.386","0.0934","0.4794","193.91","10009.66","716.28","189042.34","498.0","31014.0","42529.0","74.72","44.56","55.56","4.62","0.0","1.3031","2230.15","3550.65","7133.28","962.31","739.27","14615.67","4959.29","0.2986","9866.88","0.5941","754.17","0.0454","1028.1","0.0619","16608.45","1666.37","0.5321","0.562","0.2066","0.1798","0.0305","0.0211"
"Bellaire Local SD, Belmont","43570.0","44.0","30.57","1345.03","1154.12","0.0009","0.0","0.0335","0.0009","0.0116","0.8996","0.0536","0.6244","0.0","0.1914","60219.59","0.4324","0.1622","0.4054","5.0","137216.8","261.27","158824.29","0.4662","0.1182","0.4156","0.5338","158.82","3913.28","334.62","87343.94","84.0","27668.0","44538.0","28.95","21.56","21.62","4.5","0.0","0.6176","1737.28","3227.17","5471.31","917.17","96.56","11449.45","8779.76","0.5763","3217.3","0.2112","1613.61","0.1059","1624.12","0.1066","15234.78","6403.81","2.5177","0.3795","0.2156","0.3584","0.0337","0.0127"
"Bellefontaine City SD, Logan","43588.0","31.0","83.38","2584.67","2362.63","0.0084","0.0004","0.0302","0.0016","0.0246","0.8317","0.103","0.4704","0.0053","0.1658","49118.69","0.2466","0.1461","0.6073","17.0","82885.71","148.14","105488.01","0.7054","0.2548","0.0398","0.2946","105.49","3161.18","346.91","100331.24","127.0","30629.0","47371.0","50.63","26.4","36.61","4.3","0.0","0.6976","1578.35","1816.62","6800.89","684.57","187.22","11067.66","6482.74","0.5597","2939.34","0.2538","957.41","0.0827","1203.84","0.1039","11583.33","5324.79","2.0096","0.5771","0.2183","0.1676","0.0251","0.0119"
"Bellevue City SD, Huron","43596.0","115.0","17.92","2061.17","1928.54","0.0","0.0005","0.0039","0.0005","0.0573","0.9076","0.0301","0.3869","0.0","0.1311","57741.23","0.127","0.1825","0.6905","10.0","81058.1","199.23","144255.84","0.7791","0.1814","0.0396","0.2209","144.26","4390.15","559.41","127551.54","254.0","33222.0","48920.0","38.25","29.39","33.2","4.3","689.77","1.276","1145.82","2038.23","5591.05","806.4","507.35","10088.85","5835.51","0.4794","4593.25","0.3774","883.77","0.0726","859.31","0.0706","12171.84","4343.44","1.4914","0.5513","0.201","0.1934","0.0391","0.0153"
"Belpre City SD, Washington","43604.0","21.0","53.05","1113.99","962.44","0.0031","0.0021","0.0178","0.0","0.012","0.9034","0.0615","0.6376","0.0","0.159","50762.65","0.3051","0.0847","0.6102","10.3","67271.07","104.19","160769.17","0.7083","0.2458","0.0459","0.2917","160.77","4105.14","444.67","140422.45","331.0","28966.0","45732.0","35.96","24.96","25.24","3.6","0.0","0.7966","1762.5","2081.19","6172.64","543.97","610.69","11170.96","6813.67","0.5395","3842.25","0.3042","857.11","0.0679","1115.71","0.0883","12628.74","2672.78","0.8755","0.4721","0.2588","0.2019","0.0273","0.0399"
"Benjamin Logan Local SD, Logan","48074.0","220.0","7.83","1721.75","1680.31","0.0047","0.0006","0.0006","0.0012","0.0159","0.9292","0.0478","0.2386","0.0018","0.1234","55135.57","0.1778","0.1704","0.6519","17.5","71598.4","96.18","215932.42","0.8176","0.1503","0.032","0.1824","215.93","5802.64","561.74","192468.81","503.0","37020.0","56571.0","35.4","26.2","28.71","3.8","0.0","1.0285","1376.43","2053.65","6451.51","546.3","343.74","10771.66","5273.88","0.4256","4875.7","0.3934","1676.57","0.1353","566.89","0.0457","12393.03","3817.39","1.0517","0.5544","0.2158","0.1822","0.033","0.0147"
"Benton Carroll Salem Local S, Ottawa","48926.0","116.0","13.57","1574.53","1437.5","0.0013","0.0","0.0034","0.0014","0.0391","0.9262","0.0286","0.3589","0.0012","0.1357","64591.94","0.1923","0.2692","0.5385","18.5","69017.19","78.87","315726.32","0.4484","0.1253","0.4263","0.5516","315.73","8911.22","375.97","259735.79","581.0","37370.0","54998.0","34.83","22.06","27.82","3.7","0.0","0.7612","1854.8","2440.09","6763.09","1045.99","82.25","12186.26","5757.28","0.3554","8374.22","0.517","1239.92","0.0765","827.81","0.0511","16199.23","2434.13","0.6328","0.5859","0.2201","0.1407","0.0359","0.0175"
"Berea City SD, Cuyahoga","43612.0","21.0","298.63","6271.16","6132.08","0.0481","0.0017","0.0556","0.0017","0.0721","0.7543","0.0666","0.3262","0.0291","0.1624","69678.37","0.0732","0.1162","0.8106","38.0","93804.53","160.48","206792.26","0.6366","0.3322","0.0312","0.3634","206.79","10214.92","1006.61","215485.02","538.0","36156.0","51946.0","78.5","45.71","53.73","4.05","0.0","1.1286","1764.95","2005.67","7522.53","806.89","355.72","12455.77","4057.44","0.2856","9035.85","0.636","769.5","0.0542","343.45","0.0242","14206.24","1307.34","0.2769","0.5595","0.2587","0.1421","0.0242","0.0155"
"Berkshire Local SD, Geauga","47167.0","118.0","11.87","1400.24","1211.75","0.0099","0.0025","0.007","0.0","0.0105","0.953","0.017","0.2257","0.001","0.1339","57359.88","0.2874","0.1494","0.5632","10.0","77448.1","137.48","245242.97","0.8502","0.1131","0.0368","0.1498","245.24","5574.83","622.37","242391.42","573.0","35059.0","57207.0","51.3","21.52","22.56","4.5","1856.51","1.1977","1563.82","2364.3","6011.29","717.55","296.47","10953.46","5198.35","0.3463","7722.39","0.5145","1311.01","0.0873","777.5","0.0518","15009.25","2504.93","0.4889","0.4694","0.1677","0.3011","0.0263","0.0355"
