IRN,County,Attendance 2012-13,Attendance 2010-11,Other Elem-Sec,Attendance 2011-12,District Class 2 Effective Millage Incl JVS FY14,District Percent Of Students In Poverty FY13,District Local Revenue As % Of Total FY13,Performance Index Score 2012-13,District Average Income TY11,Adult Ed,District Median Income TY11,County Mortality Rate,County Mortality Category
050427,Warren,96.9,96.9,201.920973859914,97.0,33.8,0.0643,0.5944,106.945,91631.0,0.0,62425.0,13.71,med
050435,Warren,95.7,96.0,222.3567815728012,96.0,37.32,0.1833,0.5595,106.356,75173.0,0.0,43096.0,13.71,med
050443,Warren,95.6,96.0,89.60062673939031,95.9,41.3,0.2173,0.6002,101.267,72325.0,0.0,49843.0,13.71,med
050450,Warren,97.0,97.0,142.84697347760448,97.1,40.57,0.0742,0.4826,110.344,95586.0,-0.7354732944206066,58747.0,13.71,med
050468,Warren,96.0,96.1,446.86346370549927,96.2,36.51,0.2069,0.5179,106.115,59462.0,0.0,38662.0,13.71,med
050484,Washington,95.1,94.4,146.86995887636405,94.9,31.09,0.5246,0.3999,95.726,47336.0,0.0,28224.0,14.82,med
050492,Washington,95.0,94.1,132.9386596202432,94.2,24.46,0.5831,0.1512,91.181,41831.0,0.0,28181.0,14.82,med
050500,Washington,94.9,95.0,166.70239896458986,95.0,31.08,0.3451,0.2637,97.492,49569.0,0.0,32465.0,14.82,med
050518,Washington,95.9,95.1,183.14652450299093,94.9,32.19,0.3891,0.5689,99.659,45400.0,0.0,29783.0,14.82,med
050534,Wayne,95.0,95.3,236.09914306636338,95.2,26.16,0.3454,0.4294,104.307,48677.0,0.0,33213.0,9.42,low
050542,Wayne,95.9,95.9,318.1232122921953,96.1,26.48,0.2537,0.4307,106.310,49257.0,0.0,32232.0,9.42,low
050559,Wayne,96.4,96.4,352.0171734137212,96.6,36.25,0.3099,0.3292,100.688,49306.0,0.0,33481.0,9.42,low
050567,Wayne,95.3,95.6,264.06379642981716,95.6,27.01,0.3533,0.2617,107.541,44857.0,0.0,33235.0,9.42,low
050575,Wayne,95.3,95.6,257.49208376189813,95.5,22.51,0.4329,0.307,102.060,42168.0,0.0,30891.0,9.42,low
050583,Wayne,95.0,95.1,318.0149294545849,95.4,37.62,0.4502,0.4402,101.262,41042.0,0.0,28611.0,9.42,low
050591,Wayne,95.3,95.4,241.77238249024288,95.7,31.74,0.3832,0.3587,102.918,48639.0,0.0,32135.0,9.42,low
050617,Williams,96.7,96.2,366.57961694899365,95.8,28.49,0.4587,0.343,100.432,41718.0,0.0,30230.0,7.08,low
050625,Williams,95.7,96.1,344.96804465980546,95.5,25.69,0.4114,0.2251,102.475,41057.0,0.0,31014.0,7.08,low
050633,Williams,96.0,96.3,406.7888944945596,95.7,31.85,0.4055,0.3178,98.739,40010.0,0.0,29861.0,7.08,low
050641,Williams,95.9,95.7,321.15483713279036,95.8,37.66,0.543,0.3226,98.162,42843.0,0.0,30657.0,7.08,low
050658,Williams,94.5,95.9,405.5883941708789,97.1,33.72,0.4702,0.388,93.096,39665.0,0.0,30677.0,7.08,low
050674,Wood,96.0,96.1,413.51230479295236,96.1,29.87,0.1993,0.4127,105.936,51536.0,0.0,37399.0,8.78,low
050682,Wood,96.0,95.9,380.5280392986199,95.6,25.35,0.4014,0.3096,96.783,45617.0,0.0,33279.0,8.78,low
050690,Wood,95.2,95.5,368.95308304329234,95.4,41.14,0.3721,0.4405,101.887,47355.0,0.0,32966.0,8.78,low
050708,Wood,95.3,95.6,265.01604660273125,95.5,36.87,0.5074,0.3432,94.822,39681.0,0.0,30386.0,8.78,low
050716,Wood,94.5,95.0,266.882468093051,95.1,58.92,0.5198,0.5087,96.032,47171.0,0.0,34708.0,8.78,low
050724,Wood,95.8,96.5,238.21791573271338,96.4,23.63,0.2494,0.4416,99.091,57863.0,0.0,38612.0,8.78,low
050740,Wyandot,96.4,96.4,368.5583910469938,96.5,24.8,0.319,0.3462,97.033,46331.0,0.0,32726.0,9.22,low
061903,Adams,95.4,94.7,76.6744616206734,94.9,25.52,0.6897,0.1511,96.553,38847.0,2.2061162616965944,25632.0,26.51,high
065680,Gallia,93.6,93.2,48.328232709594374,93.4,22.0,0.5815,0.3421,97.415,42691.0,0.0,28629.0,21.00,med
069682,Guernsey,94.1,93.9,196.36148663760744,93.4,21.99,0.5627,0.2125,95.202,50541.0,7.554789017890212,30170.0,17.58,med
091397,Preble,96.7,95.3,357.3058408146242,96.7,41.59,0.4205,0.3751,99.413,44481.0,0.0,31745.0,19.71,med
139303,Butler,96.0,95.7,188.58795439018223,96.0,41.77,0.2694,0.4827,102.837,53433.0,0.0,41223.0,27.67,high
