IRN,Local Education Agency Name,Operating Expenditures,CRI%,NCR%,Instruction,Pupil Support,Instr Staff Sup ,CRI - Classroom Instr,Gen Admin,School Admin,Oper & Maint,Pupil Transp,Other Support,NCR -Nonclassroom,Other Elem-Sec,Other Non Elem-Sec,Non-Operating,Operating EPEP,County Name,County Mortality Rate
045187,Ada Exempted Village,7781036.21,0.6857521962360846,0.3142478037639154,4747.179281291586,393.123021318062,135.89838440845688,5276.200687018105,179.10529130502923,558.6623531645715,741.7156217114892,290.79376543955385,333.60519430468486,2417.8332744883955,232.7242314835868,0.0,736.9543509927157,7694.0339615065,Hardin,15.28
061903,Adams County/Ohio Valley Local,36650657.76120571,0.6989937699594799,0.30100623004052013,5079.74193190573,335.6064535010955,121.75179284043122,5537.100178247257,174.68738727129804,445.21598415257387,598.1912859978804,519.0915245511499,279.25193401008534,2384.4299071614273,76.6744616206734,6.535164485811032,363.7305362022154,7921.5300854086845,Adams,26.51
049494,Adena Local,10397039.519978475,0.660679343075106,0.33932065692489405,4918.177315602404,262.2932206013363,260.6972783481675,5441.167814551908,266.50027193704705,427.71817959539663,730.9930398311042,618.850722819203,398.2855656899299,2794.5487574635067,189.50899554295955,0.0,2407.8855521042296,8235.716572015415,Ross,25.74
043489,Akron City,292920455.8915535,0.6770141616681834,0.32298583833181665,6071.84344820802,774.1852383165375,591.6039511278699,7437.632637652427,144.82073098736788,711.7141926978301,1155.2930093967307,439.197090729762,704.3859968032631,3548.3009790475185,65.99897699996944,113.73131970928148,1384.6597929637428,10985.933616699946,Summit,20.39
045906,Alexander Local,14599604.75,0.6263497633386274,0.37365023666137265,4368.391890430303,516.757402001217,166.27756015151255,5051.426852583033,202.2367546789655,434.8054791705369,830.4508092132451,707.6530794072496,408.16340692863844,3013.4390550169805,177.77756930034266,0.0,556.990096853011,8064.865907600013,Athens,16.71
045757,Allen East Local,8751985.629999999,0.6434183142048875,0.35658168579511257,4065.8961267323234,494.12571748059236,281.3794423524106,4841.401286565326,376.1105459811419,331.4324281909265,754.2367104677859,461.10267599967324,361.43613001432215,2683.098995258561,206.8818065073206,0.0,745.6740007930853,7524.500281823886,Allen,11.16
043497,Alliance City,29968965.100005984,0.6946854724723821,0.305314527527618,5641.6862491164065,430.0284017831855,270.766981211382,6342.481632110975,271.6727656186222,462.15373577863505,1056.7088220454364,242.35636527502083,359.3207666239487,2787.5230728069437,180.8606411025403,19.179652223148064,623.79195503431,9130.00470491792,Stark,14.48
046847,Amanda-Clearcreek Local,14147220.459986914,0.6567200494455715,0.3432799505544286,4562.199058179084,408.15630449605567,189.07377137823488,5159.429134053375,205.9163519074833,424.5813054782245,815.7808149486104,556.6896575294254,262.55588203823305,2696.930875678573,129.1548632005332,0.0,282.31939803935484,7856.360009731947,Fairfield,11.12
045195,Amherst Exempted Village,35223247.04829838,0.7004457520957414,0.29955424790425855,5038.085372754155,457.7037694920713,401.2628508560369,5897.051993102263,182.31137330821844,569.151497264871,905.7700578349318,343.61044869297314,194.57801218217702,2521.946873631125,208.82983864266532,26.759873766887573,751.6185264280041,8418.99886673339,Lorain,17.43
049759,Anna Local,10542220.370009376,0.687369628567441,0.31263037143255906,4918.954458893765,276.2430022403416,277.82814298444754,5473.025604118554,222.44609301472067,392.7639811625978,740.0682381370112,398.92441107594186,370.51346938780097,2489.248806412185,369.50487528953386,0.0,956.8754865299874,7962.274410530739,Shelby,14.47
046623,Ansonia Local,6532006.70999805,0.6910834266420817,0.3089165733579184,5611.930994928234,394.19130650923194,231.83061100102253,6237.952912438489,184.63855204423842,616.4120690337646,799.903315501076,499.77118181252746,258.45629222133726,2788.385546795292,82.88669983793594,0.0,652.4901630808877,9026.33845923378,Darke,15
048207,Anthony Wayne Local,38101238.76000257,0.6692068111119426,0.3307931888880575,5085.940414535233,494.4864560312864,133.65485172230277,5714.081722288822,320.20537661822135,505.73226782344426,953.4376378005426,579.2644540202568,245.87951518659446,2824.5069881195527,95.5760661254707,64.7331719968688,473.63978178057937,8538.588710408374,Lucas,22.77
048991,Antwerp Local,6531578.219973704,0.6471451918088172,0.35285480819118276,4861.0858891211765,298.9115782797469,529.5826316786599,5689.580099079583,394.9512260403892,574.8218177506475,1040.1838412881143,450.34825116443915,346.6601332281244,3102.233810835746,369.931987184991,0.0,891.8520286514334,8791.813909915329,Paulding,8.92
047415,Arcadia Local,5203985.359988829,0.6240753413645116,0.37592465863548846,4611.193131245074,373.56927328695804,329.6574835298794,5314.419888061912,409.93339895376084,551.2517552622394,958.9029677737809,518.0176218086986,340.89561456137375,3201.2504738565403,793.9141394646543,0.0,1017.6617003938505,8515.670361918452,Hancock,10.04
046631,Arcanum-Butler Local,9169963.21,0.702098123248632,0.29790187675136814,4839.62018139925,227.36787792956116,486.1179040857885,5553.1059634145995,286.5561895922175,424.3966218843961,730.9844536659643,441.1972625045024,233.1836617787008,2356.1958557103253,256.5821442440572,0.0,1019.2766945339494,7909.301819124926,Darke,15
047043,Archbold-Area Local,12187075.569999998,0.7320971720207361,0.26790282797926396,5773.189944086059,724.0121535055679,458.6818495200952,6955.883947111722,185.32517317051418,415.220674254647,822.5493050183543,345.51040536923716,446.8268781802925,2545.4284646164606,433.6319003174849,0.0,1203.5639152406986,9501.312411728182,Fulton,8.81
047423,Arlington Local,5591540.699996515,0.691205822753362,0.30879417724663816,5424.1337730788355,411.1370115307241,231.8472335754984,6067.118018185058,395.10401287923787,506.3174137668527,771.5191656203974,370.60795467767747,348.42529098870034,2710.467208191059,386.6911240493437,0.0,397.8119759311598,8777.585226376117,Hancock,10.04
043505,Ashland City,29612318.790006354,0.7016925208509934,0.2983074791490065,5260.621359880034,406.3880197595224,241.40361619981292,5908.41299583937,195.66672672581194,536.8837230662919,598.5310235986468,321.042164740619,490.08508610384047,2511.817832150372,176.3765813862192,52.27521419745205,1035.8624983527448,8420.230827989742,Ashland,8
043513,Ashtabula Area City,33357451.630063057,0.6697979653189076,0.33020203468109244,4524.601454250522,514.4639505351136,229.25547824294594,5268.320883028581,187.6826006704382,401.39104346524414,812.8865847454541,440.44028658436156,373.76556932009635,2597.2164219708484,84.41128143019364,67.17793317586452,585.9788186406403,7865.53730499943,Ashtabula,20.1
043521,Athens City,33053374.353490416,0.7341469887608473,0.26585301123915267,6581.430638214878,664.8315381132319,251.678023932316,7497.940200260426,249.45305527806948,492.5738549572298,852.4029616827546,512.6706332714554,379.2685003983398,2715.1919313799367,132.7319190030242,0.0,435.1766622806115,10213.132131640363,Athens,16.71
