"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Cleveland Municipal SD, Cuyahoga","43786.0","79.0","729.28","57613.14","38724.6","0.0092","0.6689","0.0018","0.1442","0.1469","0.0289","1.0","0.0714","0.2299","69313.61","0.0365","0.0726","0.8908","21.79","414.0","73969.06","139.16","85533.97","0.4403","0.5053","0.0544","0.5597","85.53","4370.42","313.98","90257.15","111.0","22426.0","33869.0","73.2","45.52","53.58","4.0","0.0","0.7628","1798.93","2724.33","8386.37","833.8","780.58","14524.0","11879.5","0.5978","4767.07","0.2399","653.79","0.0329","2570.73","0.1294","19871.1","4928.28","2.5748","0.4524","0.1795","0.3377","0.0187","0.0117"
"Clinton-Massie Local SD, Clinton","46391.0","127.0","14.73","1871.08","1856.29","0.003","0.005","0.0005","0.0203","0.9604","0.0107","0.2462","0.0005","0.119","52914.18","0.1273","0.1727","0.7","18.71","12.13","79463.33","150.79","126924.5","0.8794","0.0308","0.0898","0.1206","126.92","3044.85","369.18","133197.17","343.0","38014.0","61272.0","30.2","23.37","23.68","4.2","0.0","0.6471","840.95","1739.06","5082.67","478.04","258.28","8399.0","5057.03","0.5212","2526.69","0.2604","1640.49","0.1691","478.0","0.0493","9702.21","4635.7","1.2091","0.5688","0.2143","0.1617","0.0427","0.0124"
"Cloverleaf Local SD, Medina","48488.0","117.0","24.5","2866.21","2621.59","0.0036","0.003","0.0033","0.0103","0.9626","0.0174","0.3514","0.0008","0.1277","61860.62","0.1852","0.2531","0.5617","18.12","19.35","71328.17","141.56","170380.77","0.8217","0.1589","0.0194","0.1783","170.38","5077.68","624.37","176119.14","481.0","34334.0","50367.0","56.45","29.33","29.01","4.5","701.6","1.1863","1112.84","1841.41","5547.42","504.39","212.95","9219.0","4218.78","0.3932","5343.35","0.498","569.31","0.0531","597.42","0.0557","10728.85","2949.66","0.6149","0.571","0.2371","0.1594","0.0325","0.0"
"Clyde-Green Springs Ex Vill, Sandusky","45302.0","67.0","34.34","2301.0","2179.34","0.0024","0.0068","0.0005","0.0789","0.8743","0.037","0.4241","0.0023","0.1544","56825.67","0.1608","0.1329","0.7063","18.96","16.1","68198.14","137.19","92991.63","0.7583","0.2135","0.0282","0.2417","92.99","3103.5","368.13","99955.4","160.0","30419.0","40246.0","49.35","30.39","41.88","3.7","149.51","1.0053","1012.37","1716.94","5059.15","643.28","257.27","8689.0","5169.76","0.4861","3730.29","0.3507","917.04","0.0862","818.16","0.0769","10635.26","4107.97","1.5981","0.5769","0.2317","0.1399","0.0381","0.0135"
"Coldwater Ex Vill SD, Mercer","45310.0","44.0","29.75","1308.81","1399.95","0.0098","0.0014","0.0","0.0071","0.9708","0.0109","0.1686","0.005","0.1049","56649.38","0.1468","0.1284","0.7248","18.36","8.92","79089.24","146.73","103363.53","0.8662","0.1047","0.0291","0.1338","103.36","3014.3","426.38","95303.21","137.0","34175.0","49365.0","49.08","27.63","36.3","5.0","570.53","0.8904","1169.31","1596.04","6199.83","366.64","273.19","9605.0","5441.26","0.552","2884.94","0.2927","1133.59","0.115","398.09","0.0404","9857.89","5360.45","1.5872","0.6069","0.217","0.0937","0.0331","0.0494"
"Colonel Crawford Local SD, Crawford","46516.0","109.0","7.27","792.93","891.62","0.0079","0.0045","0.0","0.0025","0.9819","0.0033","0.3327","0.0","0.1816","48661.41","0.1139","0.1772","0.7089","17.17","8.0","70991.0","92.92","145707.14","0.858","0.1024","0.0395","0.142","145.71","3729.2","557.01","131769.74","337.0","32845.0","49252.0","49.7","23.02","37.89","5.0","1902.82","1.2752","1353.99","2180.5","5512.88","744.22","294.39","10086.0","3934.51","0.3644","4381.93","0.4059","1943.85","0.18","536.09","0.0497","10796.37","3505.84","0.7403","0.4997","0.2542","0.186","0.04","0.0201"
"Columbia Local SD, Lorain","48140.0","25.0","35.74","893.5","952.3","0.0053","0.0034","0.0","0.0291","0.9447","0.0176","0.2947","0.0","0.0988","53490.69","0.2692","0.1538","0.5769","17.46","5.45","82643.74","158.66","216258.21","0.8803","0.0845","0.0353","0.1197","216.26","7902.71","1056.03","225747.74","559.0","36533.0","57550.0","53.66","36.05","34.59","5.1","0.0","1.1905","1789.54","1978.43","5910.05","765.06","142.91","10586.0","3254.73","0.2822","5956.18","0.5165","1829.5","0.1586","492.49","0.0427","11532.9","2717.75","0.3984","0.6426","0.2017","0.1139","0.0244","0.0174"
"Columbiana Ex Vill SD, Columbiana","45328.0","16.0","63.95","1023.25","1036.12","0.0077","0.0051","0.0","0.0139","0.9387","0.0346","0.3675","0.0029","0.1462","44455.59","0.3765","0.2706","0.3529","15.84","7.23","75356.71","138.87","175636.3","0.7499","0.2255","0.0246","0.2501","175.64","3941.63","547.18","177682.68","485.0","30121.0","47914.0","31.7","22.27","22.01","0.0","1647.21","1.2117","1147.55","1269.77","4364.36","355.5","360.83","7498.0","2637.19","0.2605","4798.94","0.4741","1820.12","0.1798","867.0","0.0856","10123.25","2014.67","0.4226","0.5037","0.177","0.2559","0.0276","0.0358"
"Columbus City SD, Franklin","43802.0","137.0","489.62","67078.48","49509.41","0.025","0.5733","0.0018","0.0803","0.268","0.0516","0.7905","0.117","0.1672","66614.37","0.1598","0.1439","0.6963","20.02","278.3","95344.27","241.02","133593.39","0.5702","0.4032","0.0265","0.4298","133.59","5918.09","537.65","147097.97","411.0","27064.0","41550.0","71.1","38.79","50.33","4.51","0.0","1.0373","1916.89","2771.53","7728.29","1127.46","644.83","14189.0","6170.3","0.3697","7788.61","0.4666","486.99","0.0292","2245.21","0.1345","16691.11","1795.42","0.5038","0.51","0.207","0.2431","0.0212","0.0187"
"Columbus Grove Local SD, Putnam","49312.0","73.0","12.77","932.44","897.95","0.0078","0.01","0.0022","0.0557","0.9016","0.0227","0.2767","0.0","0.1258","50944.69","0.5342","0.1096","0.3562","18.41","5.23","88470.78","173.33","110521.8","0.9317","0.0309","0.0374","0.0683","110.52","2433.95","394.92","99079.33","158.0","33650.0","45178.0","29.7","21.7","22.45","4.35","1213.12","1.2067","1173.25","1414.05","5089.84","254.52","110.32","8042.0","5326.3","0.5367","3337.34","0.3363","965.97","0.0973","293.73","0.0296","9923.34","4363.39","1.4232","0.5909","0.2067","0.1558","0.0333","0.0133"
"Conneaut Area City SD, Ashtabula","43810.0","59.0","31.79","1875.45","1798.57","0.0061","0.0154","0.0006","0.0233","0.9154","0.0393","0.6271","0.0039","0.1672","51792.35","0.1491","0.2105","0.6404","18.71","11.0","70595.82","164.36","100601.04","0.785","0.1762","0.0388","0.215","100.6","2398.9","372.36","98927.96","156.0","24554.0","35839.0","36.4","23.16","24.16","3.7","0.0","0.932","1239.3","1763.41","5875.29","633.71","420.29","9932.0","6780.56","0.6326","2160.61","0.2016","433.86","0.0405","1343.52","0.1253","10718.54","5815.67","2.6241","0.5558","0.2478","0.1571","0.0191","0.0202"
"Conotton Valley Union Local, Harrison","47548.0","70.0","7.34","514.05","460.39","0.0022","0.0","0.0","0.0021","0.9867","0.009","0.6044","0.0043","0.2195","41037.6","0.1212","0.2121","0.6667","14.58","5.0","58746.0","96.63","138856.51","0.8059","0.0962","0.0979","0.1941","138.86","4481.75","533.5","136066.9","365.0","32340.0","44223.0","48.16","30.2","33.5","4.0","0.0","1.2398","1817.6","2227.46","5156.52","571.89","158.51","9932.0","5521.06","0.4644","4306.03","0.3622","1151.45","0.0968","910.55","0.0766","11889.09","3900.86","1.3003","0.4519","0.2545","0.2401","0.0301","0.0233"
"Continental Local SD, Putnam","49320.0","80.0","6.76","541.16","482.45","0.0021","0.0083","0.0","0.049","0.9344","0.0062","0.3325","0.0","0.2056","49487.17","0.2308","0.1346","0.6346","15.94","4.36","70972.06","118.98","108109.67","0.9143","0.0431","0.0426","0.0857","108.11","2483.44","358.75","91812.19","123.0","31080.0","42148.0","34.35","22.38","24.31","4.45","1102.52","1.2444","1437.82","2325.41","6486.08","334.33","300.34","10884.0","7418.94","0.5643","3450.99","0.2625","1750.95","0.1332","526.42","0.04","13147.3","5019.42","1.6275","0.4937","0.1907","0.2608","0.0342","0.0206"
"Copley-Fairlawn City SD, Summit","49981.0","23.0","142.79","3284.16","3069.11","0.0528","0.1537","0.0029","0.0177","0.7302","0.0426","0.2132","0.0339","0.1083","61337.19","0.1429","0.2488","0.6083","20.94","18.0","89075.5","182.45","234351.6","0.6177","0.3467","0.0356","0.3823","234.35","8876.92","825.42","259189.56","587.0","45348.0","76686.0","61.67","35.76","39.21","5.1","0.0","0.6207","1337.31","1848.04","6642.27","547.98","193.4","10569.0","2011.35","0.1733","8616.05","0.7424","551.92","0.0476","425.81","0.0367","11605.13","286.48","0.0336","0.5699","0.1865","0.1406","0.0355","0.0674"
"Cory-Rawson Local SD, Hancock","47431.0","101.0","6.41","647.77","592.29","0.0084","0.0113","0.0","0.032","0.9407","0.0075","0.4032","0.0","0.1799","52849.03","0.1887","0.1509","0.6604","15.89","6.67","56100.73","97.12","142171.22","0.8554","0.1044","0.0402","0.1446","142.17","3019.56","438.78","129970.18","327.0","34868.0","48544.0","32.8","20.0","26.94","5.4","2216.43","1.4269","2114.42","2220.18","6778.66","431.81","228.86","11774.0","5147.04","0.3993","5490.08","0.426","1536.4","0.1192","715.02","0.0555","12888.55","3196.5","0.87","0.5437","0.1855","0.1956","0.0245","0.0506"
"Coshocton City SD, Coshocton","43828.0","9.0","187.9","1691.13","1638.27","0.0061","0.0166","0.0","0.0086","0.9215","0.0472","0.6472","0.0043","0.2263","51071.19","0.1727","0.1818","0.6455","14.95","11.1","68996.81","148.55","97885.93","0.6341","0.3168","0.0491","0.3659","97.89","3451.44","418.97","90833.21","115.0","23171.0","39770.0","57.39","32.99","36.38","4.6","0.0","1.0338","1337.09","1575.68","6489.72","438.71","280.84","10122.0","5887.47","0.5191","2989.97","0.2636","853.7","0.0753","1611.15","0.142","11342.3","4768.37","1.6957","0.5731","0.2142","0.1611","0.0352","0.0164"
"Coventry Local SD, Summit","49999.0","13.0","124.91","1623.79","2273.81","0.0138","0.0309","0.0023","0.0154","0.9143","0.0233","0.4696","0.0114","0.1521","52573.24","0.1203","0.2105","0.6692","20.08","12.0","82811.17","129.53","177753.36","0.8238","0.1504","0.0259","0.1762","177.75","7711.02","911.84","137304.9","371.0","32752.0","46819.0","77.87","41.5","47.75","5.6","0.0","1.3867","1011.63","1725.11","4997.2","534.74","201.32","8470.0","2100.93","0.2241","3876.82","0.4135","2762.46","0.2947","634.67","0.0677","9374.87","4478.51","0.881","0.5662","0.1908","0.2183","0.0146","0.0101"
"Covington Ex Vill SD, Miami","45336.0","35.0","24.09","843.3","848.95","0.0012","0.0038","0.0","0.0124","0.9483","0.0343","0.3441","0.0","0.1184","48244.72","0.2241","0.1379","0.6379","16.76","5.2","76674.12","155.3","113582.33","0.8253","0.1381","0.0366","0.1747","113.58","2648.71","299.03","115642.3","260.0","31602.0","46063.0","35.3","22.55","24.73","3.9","2025.7","1.6144","1265.75","1755.54","4821.58","448.59","285.52","8577.0","4009.77","0.3972","4047.48","0.4009","1439.91","0.1426","598.47","0.0593","10095.64","3520.74","1.0308","0.569","0.2027","0.188","0.026","0.0144"
"Crestline Ex Vill SD, Crawford","45344.0","20.0","40.01","800.12","673.0","0.0058","0.0147","0.0","0.0094","0.9284","0.0416","0.6945","0.0015","0.1544","46870.48","0.2037","0.2037","0.5926","17.42","6.5","65422.31","114.82","80842.31","0.7539","0.1823","0.0639","0.2461","80.84","3327.88","512.36","88936.68","102.0","25547.0","34787.0","67.45","36.47","51.36","3.8","221.49","1.183","1740.88","2003.84","5860.77","621.47","275.05","10502.0","6859.99","0.5458","3549.91","0.2824","711.97","0.0566","1447.84","0.1152","12569.71","3698.84","1.6846","0.4624","0.2145","0.2557","0.0465","0.0208"
"Crestview Local SD, Columbiana","46433.0","38.0","24.08","914.96","1248.8","0.0016","0.0039","0.0008","0.005","0.9855","0.0032","0.4036","0.0","0.1001","47487.34","0.241","0.0964","0.6627","17.38","9.2","69115.5","97.69","114180.7","0.8637","0.0758","0.0605","0.1363","114.18","2581.69","410.36","82572.03","78.0","34003.0","52084.0","31.5","22.03","22.08","3.2","1356.35","1.0108","1122.63","1902.31","4603.6","533.71","302.74","8465.0","3654.6","0.3909","2567.09","0.2746","2585.56","0.2766","541.9","0.058","9349.16","6623.49","1.5312","0.538","0.2288","0.1831","0.0389","0.0112"
"Crestview Local SD, Richland","49429.0","104.0","12.38","1288.0","1191.63","0.0008","0.0083","0.0","0.0099","0.9694","0.0116","0.4196","0.0","0.1321","50607.47","0.1395","0.1977","0.6628","17.74","9.25","64191.16","135.01","95628.8","0.8855","0.0377","0.0769","0.1145","95.63","2299.35","320.15","94460.43","135.0","33667.0","43976.0","46.1","22.11","24.61","4.2","0.0","0.7658","1105.08","1817.07","5581.78","357.37","324.68","9186.0","6289.09","0.6276","2041.14","0.2037","679.62","0.0678","1010.98","0.1009","10020.83","5212.16","2.1423","0.587","0.2241","0.1462","0.0315","0.0113"
"Crestview Local SD, Van Wert","50351.0","128.0","6.77","866.94","904.99","0.0069","0.011","0.0","0.0273","0.9285","0.0264","0.3354","0.0011","0.1696","49852.7","0.2836","0.1343","0.5821","15.61","5.4","78258.59","154.54","123096.36","0.9145","0.021","0.0645","0.0855","123.1","3128.35","432.94","104168.17","185.0","36251.0","48294.0","38.7","24.39","29.02","5.2","1083.97","1.293","1584.07","1606.87","6090.11","326.65","179.31","9787.0","5243.06","0.4695","3483.36","0.3119","1753.84","0.1571","686.37","0.0615","11166.62","5164.08","1.6896","0.5529","0.2109","0.1512","0.0388","0.0463"
"Crestwood Local SD, Portage","49189.0","74.0","27.2","2012.55","1996.89","0.0006","0.003","0.0","0.0075","0.971","0.0179","0.2936","0.003","0.1323","54853.91","0.1957","0.1739","0.6304","19.81","15.81","76013.41","124.77","143563.61","0.8863","0.0742","0.0395","0.1137","143.56","4306.71","517.35","149918.51","422.0","34001.0","48834.0","49.83","29.23","28.58","5.2","0.0","0.7807","1563.58","1973.14","5908.23","467.72","83.34","9996.0","5809.38","0.5439","3208.01","0.3003","1018.09","0.0953","646.27","0.0605","10681.75","5260.79","1.2031","0.5517","0.2708","0.1307","0.0341","0.0128"
"Crooksville Ex Vill SD, Perry","45351.0","45.0","23.05","1037.34","1086.01","0.0037","0.001","0.0","0.0","0.9907","0.0046","0.694","0.0028","0.1643","44819.0","0.2111","0.2111","0.5778","16.1","8.85","73852.99","112.08","72616.56","0.6422","0.1079","0.2499","0.3578","72.62","1730.1","200.59","60330.0","20.0","28258.0","36508.0","28.9","22.15","22.05","4.2","0.0","0.6689","1295.52","2120.99","5830.0","509.62","333.84","10090.0","6731.92","0.6205","1383.87","0.1276","1196.24","0.1103","1536.84","0.1417","10848.87","6492.38","4.0557","0.4954","0.2302","0.2235","0.0395","0.0114"
"Cuyahoga Falls City SD, Summit","43836.0","10.0","493.41","4934.09","4840.33","0.0175","0.038","0.0011","0.0175","0.8741","0.0517","0.4076","0.0149","0.1604","52654.29","0.1837","0.2187","0.5977","17.86","27.0","73671.49","182.74","149922.71","0.7811","0.2139","0.005","0.2189","149.92","6250.29","788.44","160403.6","450.0","32361.0","45215.0","69.08","40.35","45.95","4.9","0.0","1.0432","1074.52","1605.78","5746.16","781.86","200.67","9409.0","3284.06","0.3084","5686.74","0.5339","1001.24","0.094","678.32","0.0637","10650.35","2085.63","0.4311","0.5653","0.2319","0.1695","0.0166","0.0168"
"Cuyahoga Heights Local SD, Cuyahoga","46557.0","11.0","79.48","874.29","844.72","0.0174","0.0148","0.0","0.0321","0.9182","0.0175","0.2286","0.0","0.0962","76744.96","0.0714","0.1714","0.7571","15.39","9.22","83443.1","93.36","376972.46","0.2955","0.6032","0.1013","0.7045","376.97","12844.75","439.08","411190.55","605.0","33412.0","52134.0","37.7","31.88","34.54","4.1","0.0","0.7219","2407.54","3137.02","8024.67","842.29","417.45","14829.0","5069.44","0.3047","9528.4","0.5727","1869.62","0.1124","170.47","0.0102","16637.93","456.86","0.1116","0.5619","0.2048","0.1939","0.0197","0.0197"
"Dalton Local SD, Wayne","50542.0","43.0","21.17","910.3","930.59","0.014","0.015","0.0","0.0087","0.9462","0.0161","0.2537","0.0086","0.0994","51645.22","0.0847","0.1525","0.7627","18.35","10.89","44226.84","80.46","154453.4","0.8421","0.1314","0.0265","0.1579","154.45","3611.3","536.53","159019.69","447.0","32232.0","49257.0","45.7","22.2","26.48","4.0","1170.08","1.0819","1152.08","1488.91","4787.81","379.91","336.33","8145.0","3831.44","0.406","4064.76","0.4307","897.27","0.0951","644.62","0.0683","9438.08","3404.39","0.7114","0.5761","0.2109","0.1525","0.0388","0.0217"
"Danbury Local SD, Ottawa","48934.0","21.0","26.68","560.31","580.04","0.0086","0.0","0.0069","0.0412","0.919","0.0243","0.4643","0.0052","0.181","70101.45","0.1042","0.0625","0.8333","12.47","9.1","75313.96","59.66","698815.69","0.8794","0.1016","0.019","0.1206","698.82","16838.66","1554.17","737121.92","610.0","31712.0","49592.0","47.35","23.69","23.27","5.1","0.0","3.0282","2350.43","2822.99","8652.37","1212.38","306.83","15345.0","2629.44","0.1476","13420.1","0.7532","1101.54","0.0618","665.8","0.0374","17816.88","1243.45","0.2215","0.6144","0.2099","0.1139","0.0389","0.0229"
"Danville Local SD, Knox","47837.0","78.0","7.83","610.95","666.37","0.0015","0.0014","0.0045","0.0167","0.9473","0.0286","0.5368","0.0015","0.2032","44848.95","0.197","0.2273","0.5758","16.06","4.0","79770.5","144.38","110178.98","0.8921","0.0741","0.0337","0.1079","110.18","2578.25","318.93","91230.71","119.0","28812.0","38993.0","47.4","22.4","24.51","4.1","1511.37","2.104","1304.55","1914.04","5575.11","515.35","353.97","9663.0","4843.41","0.4482","3272.19","0.3028","1654.8","0.1531","1036.44","0.0959","10806.84","4960.6","2.2725","0.5544","0.2013","0.1834","0.0367","0.0241"
"Dawson-Bryant Local SD, Lawrence","47928.0","48.0","23.04","1105.8","1208.44","0.0008","0.0026","0.0","0.0111","0.9812","0.0043","0.5969","0.0008","0.1839","44323.84","0.3111","0.1667","0.5222","15.1","11.0","64189.64","95.87","64528.0","0.8797","0.0373","0.083","0.1203","64.53","1439.67","240.44","54883.37","14.0","27973.0","41492.0","23.0","22.25","22.12","4.6","0.0","0.6533","1112.39","1955.98","5752.54","348.65","187.44","9357.0","7343.79","0.6739","1116.45","0.1025","1253.51","0.115","1182.94","0.1086","10896.69","8018.21","3.6634","0.553","0.1859","0.1515","0.0856","0.024"
"Dayton City SD, Montgomery","43844.0","49.0","459.3","22505.89","13771.93","0.004","0.6517","0.001","0.0341","0.2583","0.0508","0.9418","0.0424","0.192","52714.84","0.1504","0.1403","0.7094","17.88","128.0","69503.95","175.83","68512.66","0.6787","0.2678","0.0535","0.3213","68.51","3054.17","443.25","75678.8","57.0","22394.0","32147.0","67.55","36.73","59.89","4.48","0.0","1.1962","2501.13","3219.31","7266.76","762.86","659.94","14410.0","11021.66","0.6145","3946.39","0.22","367.16","0.0205","2601.12","0.145","17936.32","3417.56","2.1973","0.4306","0.1813","0.352","0.022","0.014"
"Deer Park Community City SD, Hamilton","43851.0","2.0","693.79","1387.57","1264.06","0.0268","0.0572","0.0","0.0405","0.8065","0.0689","0.4564","0.0269","0.1351","62827.07","0.2143","0.2024","0.5833","16.06","11.0","76868.09","121.58","170551.69","0.7892","0.1696","0.0412","0.2108","170.55","7098.64","835.52","196324.28","520.0","34521.0","46546.0","79.03","39.4","42.86","4.56","0.0","1.0355","1729.67","1856.5","5713.37","632.8","639.67","10572.0","3415.8","0.2992","6487.23","0.5683","776.13","0.068","736.61","0.0645","11415.77","1809.63","0.329","0.5409","0.1828","0.232","0.0255","0.0187"
"Defiance City SD, Defiance","43869.0","34.0","79.62","2707.18","2565.25","0.0055","0.0608","0.0006","0.2077","0.7019","0.0234","0.5356","0.0043","0.1564","49748.49","0.2184","0.1724","0.6092","16.21","31.0","41462.87","85.6","87151.16","0.7945","0.1579","0.0476","0.2055","87.15","2722.21","385.39","90272.04","112.0","28175.0","42528.0","47.2","29.87","33.27","4.0","552.37","1.0885","944.27","1698.63","4781.2","372.91","361.99","8159.0","5223.88","0.5296","2934.59","0.2975","851.47","0.0863","853.97","0.0866","9863.91","4073.64","1.3922","0.56","0.1996","0.1949","0.0302","0.0153"
"Delaware City SD, Delaware","43877.0","36.0","154.06","5546.33","5106.39","0.0077","0.048","0.0015","0.0374","0.844","0.0613","0.382","0.0112","0.1445","57700.23","0.2134","0.2102","0.5764","19.73","24.0","88437.83","225.74","124922.37","0.7384","0.2269","0.0347","0.2616","124.92","5885.58","693.03","142373.55","395.0","35966.0","49744.0","71.38","45.48","48.7","4.4","0.0","1.123","1151.32","1708.9","5714.66","456.37","110.75","9142.0","3375.11","0.3326","5556.1","0.5476","534.84","0.0527","680.27","0.067","10146.32","1888.4","0.505","0.5987","0.2196","0.13","0.031","0.0208"
"Delphos City SD, Allen","43885.0","53.0","21.54","1141.36","1098.66","0.0009","0.0053","0.0","0.0242","0.9405","0.029","0.4257","0.0","0.135","52177.56","0.1529","0.1882","0.6588","18.59","10.72","60418.47","106.47","152662.67","0.7839","0.1882","0.0279","0.2161","152.66","3917.2","490.92","148761.77","418.0","31063.0","46286.0","45.15","23.65","31.16","4.7","0.0","0.6543","1198.59","1265.6","4511.46","446.58","126.76","7549.0","3709.13","0.4005","3609.06","0.3897","1178.76","0.1273","763.47","0.0824","9260.42","1755.26","0.3644","0.5405","0.1844","0.2283","0.0275","0.0193"
"Dover City SD, Tuscarawas","43893.0","36.0","75.71","2725.48","2640.16","0.0067","0.0154","0.0004","0.0439","0.9148","0.0187","0.3502","0.0311","0.1379","55763.18","0.1118","0.1941","0.6941","18.49","14.5","78209.59","182.4","121785.34","0.7622","0.2252","0.0127","0.2378","121.79","4837.15","575.84","136215.99","367.0","30578.0","50255.0","60.37","37.71","45.36","4.4","0.0","1.0809","1050.74","1367.72","5455.55","407.01","164.98","8446.0","3487.45","0.3956","4235.73","0.4805","478.39","0.0543","614.38","0.0697","8815.95","2181.32","0.5221","0.6287","0.2456","0.0666","0.0297","0.0293"
"Dublin City SD, Franklin","47027.0","42.0","348.77","14648.54","14055.59","0.1708","0.0434","0.0007","0.0463","0.6853","0.0535","0.1499","0.0824","0.0937","73627.05","0.1738","0.2264","0.5998","17.89","64.0","103849.86","227.55","198332.5","0.7066","0.273","0.0204","0.2934","198.33","10545.99","988.5","226422.95","561.0","50124.0","92172.0","81.2","51.05","56.58","4.4","0.0","0.6865","1278.69","1811.13","7990.03","765.84","479.31","12325.0","2158.73","0.1721","9513.14","0.7584","491.26","0.0392","380.87","0.0304","12544.0","847.58","0.092","0.657","0.2331","0.069","0.024","0.0168"
"East Cleveland City SD, Cuyahoga","43901.0","4.0","773.23","3092.91","2691.66","0.0004","0.9855","0.0004","0.0053","0.0019","0.0066","0.9167","0.0022","0.2007","64919.8","0.1589","0.2093","0.6318","18.82","25.2","97434.62","122.73","62177.85","0.7014","0.2446","0.054","0.2986","62.18","3171.79","420.9","57847.24","18.0","19767.0","29101.0","88.38","43.16","65.28","4.78","0.0","2.0461","3901.73","3025.05","9711.07","1281.74","975.42","18895.0","12554.29","0.6491","2615.08","0.1352","1431.98","0.074","2739.19","0.1416","19340.54","9482.17","8.0269","0.4599","0.1842","0.3097","0.0336","0.0126"
"East Clinton Local SD, Clinton","46409.0","129.0","11.49","1481.61","1480.75","0.002","0.0058","0.0","0.0137","0.9544","0.0241","0.5777","0.0","0.1801","46918.53","0.2234","0.2447","0.5319","17.75","10.77","60526.58","130.8","94503.26","0.879","0.0805","0.0405","0.121","94.5","2162.7","294.68","90240.73","110.0","28459.0","40023.0","32.2","22.21","25.51","4.2","0.0","0.9827","1039.63","1790.14","4657.45","314.79","201.0","8003.0","5794.67","0.6218","1770.01","0.1899","1012.15","0.1086","741.83","0.0796","9318.67","5542.99","2.4365","0.5596","0.2013","0.1749","0.0478","0.0164"
"East Guernsey Local SD, Guernsey","69682.0","239.0","4.32","1032.69","1038.39","0.001","0.001","0.0029","0.0153","0.9596","0.0204","0.5627","0.0","0.1975","46606.78","0.1408","0.1408","0.7183","22.01","7.2","60033.89","134.75","122278.36","0.8575","0.0548","0.0877","0.1425","122.28","2743.26","420.67","105496.42","193.0","30170.0","50541.0","26.5","22.05","21.99","3.3","0.0","0.6321","1367.15","2629.31","5011.73","664.83","240.01","9913.0","6276.51","0.5622","2372.44","0.2125","1422.77","0.1275","1091.49","0.0978","11163.22","6160.04","1.3598","0.459","0.2754","0.2009","0.046","0.0188"
"East Holmes Local SD, Holmes","47688.0","149.0","12.15","1811.06","1788.69","0.0039","0.0028","0.0","0.0061","0.9793","0.0079","0.3534","0.3343","0.1095","54018.31","0.1484","0.1094","0.7422","16.28","11.8","72948.32","149.91","224366.32","0.7812","0.1974","0.0213","0.2188","224.37","5299.27","497.68","211164.55","536.0","26675.0","42386.0","26.67","23.39","24.19","4.5","0.0","1.19","1410.6","1900.82","5732.56","439.84","237.16","9721.0","3205.1","0.31","4467.31","0.4321","1043.86","0.101","1622.42","0.1569","10338.69","2548.82","0.4917","0.577","0.2312","0.1213","0.0404","0.03"
