"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Bethel-Tate Local SD, Clermont","46318.0","48.0","35.88","1722.43","1739.54","0.0006","0.0018","0.0001","0.0085","0.9757","0.0133","0.4612","0.0006","0.1303","51982.93","0.176","0.16","0.664","19.46","16.25","60894.15","102.25","90507.91","0.9042","0.0666","0.0292","0.0958","90.51","2321.04","325.87","98185.28","152.0","31905.0","44579.0","39.15","25.02","28.27","3.7","0.0","0.8498","992.15","1591.77","4722.2","223.74","175.12","7705.0","5626.33","0.6188","1760.32","0.1936","1016.97","0.1118","688.86","0.0758","9092.48","5514.31","2.1382","0.5441","0.1895","0.2222","0.0335","0.0108"
"Bettsville Local SD, Seneca","49692.0","16.0","12.51","200.15","166.57","0.0","0.0124","0.0062","0.0868","0.8765","0.0182","0.6148","0.0","0.2245","35853.35","0.6061","0.2121","0.1818","10.92","6.6","46008.03","28.82","112336.4","0.778","0.1649","0.057","0.222","112.34","2576.19","300.0","109996.51","220.0","28079.0","38721.0","34.6","21.67","24.87","4.6","993.92","1.3395","2776.58","2605.03","7682.32","192.06","242.99","13499.0","5635.78","0.4454","3685.57","0.2913","2016.68","0.1594","1313.97","0.1039","12652.0","3470.92","1.2212",".",".",".",".","."
"Bexley City SD, Franklin","43620.0","2.0","1084.62","2169.24","2143.34","0.0186","0.0755","0.0005","0.0159","0.8349","0.0546","0.1144","0.0093","0.091","74924.76","0.1023","0.2102","0.6875","16.13","13.2","96038.82","164.34","214900.66","0.9529","0.0386","0.0085","0.0471","214.9","10231.3","1429.13","241869.52","580.0","62943.0","134405.0","107.9","46.24","68.02","5.7","2851.55","0.8366","1718.95","2134.73","8855.64","717.61","801.06","14228.0","3122.76","0.1905","12386.28","0.7555","455.78","0.0278","430.01","0.0262","16394.83","1519.19","0.1098","0.5886","0.2199","0.1264","0.0397","0.0254"
"Big Walnut Local SD, Delaware","46748.0","109.0","29.0","3160.99","2960.29","0.0098","0.0124","0.0037","0.0229","0.9201","0.0312","0.19","0.0051","0.1069","60412.16","0.2526","0.1632","0.5842","19.63","13.7","81310.03","226.18","203620.0","0.9015","0.0707","0.0278","0.0985","203.62","6256.14","844.06","226561.73","562.0","45463.0","77532.0","38.92","30.5","30.42","4.6","1533.79","1.0449","1299.26","1971.01","5561.76","516.55","312.42","9661.0","2233.44","0.2124","7195.65","0.6843","604.42","0.0575","481.63","0.0458","10515.14","1180.68","0.1605","0.5495","0.2387","0.1635","0.0305","0.0178"
"Black River Local SD, Medina","48462.0","114.0","12.87","1467.14","1294.58","0.0038","0.0019","0.0","0.0058","0.9802","0.0083","0.4464","0.0008","0.1344","56602.9","0.0588","0.1882","0.7529","18.89","11.0","60589.55","125.99","128008.0","0.89","0.042","0.068","0.11","128.01","3162.2","398.69","131348.87","335.0","33694.0","45404.0","46.55","23.1","23.36","3.6","0.0","0.8694","1011.3","1530.9","5463.37","397.51","303.94","8707.0","5913.45","0.5725","2725.72","0.2639","735.4","0.0712","955.29","0.0925","10329.86","4306.38","1.3536","0.5334","0.1841","0.2256","0.0377","0.0192"
"Blanchester Local SD, Clinton","46383.0","70.0","22.38","1566.45","1704.14","0.0019","0.0041","0.0","0.0124","0.9664","0.0153","0.4779","0.0006","0.1439","45751.94","0.2143","0.2653","0.5204","17.9","16.14","65937.02","94.54","86195.6","0.8241","0.1173","0.0586","0.1759","86.2","2076.51","278.27","79683.36","69.0","30453.0","40833.0","33.3","23.31","24.99","4.1","0.0","0.7457","1271.1","1732.07","4371.99","194.61","358.21","7928.0","5692.28","0.6086","1638.85","0.1752","1249.71","0.1336","771.78","0.0825","9352.62","6217.18","2.6912","0.542","0.2662","0.1291","0.0282","0.0346"
"Bloom Carroll Local SD, Fairfield","46862.0","54.0","32.65","1762.85","1821.32","0.0082","0.0047","0.0","0.0081","0.9617","0.0172","0.2025","0.0011","0.1042","52219.63","0.2381","0.2302","0.5317","20.46","10.59","77631.44","163.13","175222.59","0.8178","0.0761","0.1061","0.1822","175.22","4325.35","521.73","188555.49","509.0","43482.0","61298.0","44.3","22.13","24.83","5.1","2010.49","1.036","1358.23","2196.69","4371.65","406.71","322.72","8656.0","2274.13","0.2453","5636.21","0.608","1005.03","0.1084","355.0","0.0383","9270.37","2037.74","0.4084","0.5538","0.2052","0.1587","0.0475","0.0348"
"Bloom-Vernon Local SD, Scioto","49593.0","84.0","11.2","941.12","887.17","0.0","0.0011","0.0","0.0022","0.9864","0.0104","0.5346","0.0","0.1164","49043.2","0.1159","0.2029","0.6812","17.48","7.2","73782.78","125.05","66842.75","0.7543","0.0241","0.2216","0.2457","66.84","1515.59","212.25","64537.34","27.0","29908.0","42153.0","24.67","22.1","22.15","3.4","0.0","0.6228","1288.75","2418.9","5356.8","323.97","283.57","9672.0","7502.54","0.6318","1294.52","0.109","1454.78","0.1225","1623.1","0.1367","11874.92","6271.7","3.296","0.4924","0.2004","0.2447","0.0476","0.0149"
"Bloomfield-Mespo Local SD, Trumbull","50096.0","51.0","6.11","311.38","272.67","0.0","0.017","0.0","0.0109","0.954","0.018","0.5869","0.1868","0.1463","39013.61","0.3636","0.2121","0.4242","12.1","4.06","61740.26","75.02","173564.46","0.9319","0.0364","0.0317","0.0681","173.56","4664.75","575.52","163076.34","459.0","27883.0","35193.0","54.3","25.57","36.51","4.7","0.0","1.3022","2479.5","3434.07","7023.44","537.72","231.05","13706.0","5874.79","0.3961","4485.94","0.3025","943.12","0.0636","3527.35","0.2378","14831.2","3418.82","1.0356","0.4712","0.2058","0.2522","0.0484","0.0224"
"Bluffton Ex Vill SD, Allen","45211.0","53.0","19.95","1057.49","1080.89","0.0119","0.0037","0.0013","0.0155","0.9329","0.0347","0.2162","0.0","0.1069","53450.11","0.0484","0.2419","0.7097","16.7","5.0","80515.2","204.86","125186.55","0.7858","0.1549","0.0593","0.2142","125.19","3221.57","395.82","128859.73","322.0","35828.0","50838.0","38.42","24.91","25.05","4.6","0.0","0.657","978.78","2089.17","4711.2","224.6","216.28","8220.0","4144.03","0.5013","2576.59","0.3117","1155.31","0.1398","390.6","0.0473","8266.54","3706.09","0.9725","0.5882","0.2179","0.1341","0.0447","0.015"
